z_sodar,speed_sodar,dir_sodar,u_sodar,v_sodar,w_sodar,dw_sodar,T_sodar,shear_sodar
30,3,124.8,-2.44,1.7,0.32,0,0,0.025
40,4.95,151.9,-2.33,4.36,0.42,0,12.05,0.023
50,4.89,137.6,-3.3,3.61,1.01,0,12,0.019
60,4.85,128.1,-3.82,2.99,1.09,0,11.83,0.018
70,6.08,134.7,-4.33,4.28,1.25,0,11.65,0.018
80,6.9,136,-4.76,4.93,1.35,0,11.52,0.018
90,6.9,134.6,-4.9,4.83,1.24,0,11.41,0.02
100,6.95,137.5,-4.69,5.12,0.78,0,11.25,0.022
110,7,141.5,-4.34,5.46,0.33,0,11.08,0.023
120,6.82,147.9,-3.62,5.78,-0.05,0,10.89,0.025
130,6.77,149.9,-3.4,5.85,-0.08,0,10.71,0.026
140,6.42,149.8,-3.23,5.55,-0.08,0,10.52,0.027
150,6.2,151.9,-2.91,5.47,-0.16,0,10.34,0.027
160,5.8,153.1,-2.62,5.17,-0.4,0,10.19,0.028
170,5.63,150.3,-2.79,4.89,-0.83,0,10.05,0.027
180,5.3,147.3,-2.86,4.46,-1.1,0,9.93,0.027
190,4.82,151.9,-2.27,4.25,-1.21,0,9.77,0.027
200,4.08,171.8,-0.59,4.04,-0.95,0,9.73,0.026
210,3.82,176.3,-0.25,3.81,-0.87,0,9.66,0.025
220,3.69,179,-0.06,3.69,-0.67,0,0,0.024
230,4.16,177.8,-0.16,4.15,-0.83,0,0,0.023
240,4.77,179.9,-0.01,4.77,-0.56,0,0,0.021
250,4.96,181.6,0.14,4.96,-0.4,0,0,0.02
260,5.44,182.5,0.24,5.44,0.17,0,0,0.019
270,5.69,181.8,0.17,5.69,0.19,0,0,0.017
280,5.94,177.6,-0.25,5.94,0.18,0,0,0.016
290,6.91,177.3,-0.33,6.9,0.09,0,0,0.014
300,7.35,174,-0.76,7.31,0.93,0,0,0.013
310,7.85,173.3,-0.91,7.79,1.03,0,0,0.013
320,7.17,174.3,-0.72,7.13,1.04,0,0,0
330,6.56,177.4,-0.29,6.56,0.39,0,0,0
340,6.05,177,-0.31,6.04,0.09,0,0,0
350,6.15,172.7,-0.79,6.1,-0.08,0,0,0
360,6.45,170.1,-1.1,6.36,-0.01,0,0,0
370,6.8,173.4,-0.78,6.75,-0.21,0,0,0
380,5.47,176.1,-0.37,5.46,-0.2,0,0,0
390,5.56,184,0.39,5.54,0,0,0,0
400,5.31,193.7,1.26,5.16,0,0,0,0
410,6,191.7,1.22,5.92,0,0,0,0
420,6.87,185.3,0.63,6.84,0,0,0,0
430,8.05,180.4,0.06,8.05,0,0,0,0
440,7.4,175,-0.64,7.37,0,0,0,0
450,7.11,174.6,-0.67,7.08,0,0,0,0
460,6.2,170.3,-1.04,6.11,0,0,0,0
