z_sodar,speed_sodar,dir_sodar,u_sodar,v_sodar,w_sodar
30,3.46,246.9,3.18,1.36,0.82
40,4.21,259.3,4.14,0.78,1.11
50,5.86,255.9,5.68,1.43,1.47
60,7.40,255.0,7.14,1.92,1.59
70,7.40,250.2,6.97,2.51,1.54
80,7.24,246.7,6.65,2.87,1.62
90,7.26,246.2,6.64,2.93,1.70
100,7.87,245.0,7.13,3.32,1.97
110,9.12,246.0,8.33,3.71,2.17
120,10.84,247.3,10.00,4.17,2.33
130,11.70,247.8,10.84,4.42,2.49
140,8.75,240.1,7.58,4.37,2.55
150,5.34,215.0,3.06,4.38,2.56
160,5.08,208.6,2.43,4.46,2.45
170,5.12,204.1,2.09,4.68,2.43
180,5.11,199.3,1.69,4.82,2.43
190,4.98,195.5,1.33,4.80,2.50
200,5.10,190.1,0.90,5.02,2.47
210,4.90,186.1,0.52,4.87,2.45
220,4.70,179.2,-0.07,4.70,2.34
230,4.45,175.2,-0.37,4.44,2.24
240,4.61,174.6,-0.43,4.59,2.15
250,4.72,180.7,0.06,4.72,2.15
260,5.00,183.8,0.33,4.99,2.10
270,5.25,186.1,0.55,5.22,2.03
280,5.38,186.8,0.63,5.35,1.97
290,5.38,186.8,0.64,5.35,1.97
300,5.24,185.9,0.54,5.21,1.98
310,5.33,184.2,0.39,5.32,1.92
320,5.10,183.4,0.30,5.09,1.92
330,5.09,183.4,0.30,5.08,1.92
340,4.76,189.9,0.82,4.69,2.05
350,4.94,197.6,1.50,4.71,2.00
360,5.10,204.5,2.11,4.64,2.12
370,5.05,203.6,2.02,4.63,2.25
380,4.70,195.7,1.27,4.53,2.51
390,4.56,192.0,0.95,4.46,2.61
400,4.47,197.8,1.37,4.25,2.60
410,4.63,203.6,1.85,4.24,2.62
420,4.43,207.6,2.06,3.93,2.66
430,4.75,213.8,2.64,3.95,2.72
440,5.07,219.0,3.19,3.95,2.76
450,5.65,217.8,3.46,4.46,2.88
460,6.04,218.8,3.79,4.71,2.94
470,6.21,213.9,3.47,5.16,3.13
480,6.67,221.3,4.40,5.01,3.10
490,6.12,214.4,3.46,5.05,3.19
500,6.18,208.6,2.95,5.42,3.20
