z_sodar,speed_sodar,dir_sodar,u_sodar,v_sodar,w_sodar,,,,,,,,,
30,2.00,271.2,2.00,-0.04,0.62,,,,,,,,,
40,4.46,270.5,4.46,-0.04,0.73,,,,,,,,,
50,6.85,270.2,6.85,-0.03,0.55,,,,,,,,,
60,6.82,271.6,6.82,-0.19,0.42,,,,,,,,,
70,6.12,269.8,6.12,0.03,0.29,,,,,,,,,
80,5.80,269.6,5.80,0.04,0.09,,,,,,,,,
90,5.50,273.0,5.50,-0.29,0.26,,,,,,,,,
100,5.67,275.6,5.64,-0.55,0.56,,,,,,,,,
110,5.20,277.7,5.15,-0.69,0.82,,,,,,,,,
120,5.04,269.8,5.04,0.01,0.73,,,,,,,,,
130,5.33,266.6,5.32,0.32,0.36,,,,,,,,,
140,6.06,264.2,6.03,0.61,0.10,,,,,,,,,
150,6.12,265.3,6.10,0.50,-0.05,,,,,,,,,
160,6.23,263.0,6.18,0.76,-0.11,,,,,,,,,
170,6.14,258.6,6.02,1.22,0.05,,,,,,,,,
180,6.90,252.3,6.57,2.10,0.31,,,,,,,,,
190,8.64,253.0,8.26,2.53,0.65,,,,,,,,,
200,10.59,253.6,10.16,2.98,0.97,,,,,,,,,
210,10.58,253.1,10.12,3.07,1.03,,,,,,,,,
220,10.69,250.8,10.09,3.52,0.94,,,,,,,,,
230,10.52,250.8,9.94,3.47,0.81,,,,,,,,,
240,11.41,249.4,10.69,4.01,0.51,,,,,,,,,
250,10.57,243.7,9.48,4.68,0.54,,,,,,,,,
260,10.21,242.1,9.02,4.78,0.49,,,,,,,,,
270,9.81,238.4,8.35,5.14,0.61,,,,,,,,,
280,8.86,239.2,7.60,4.54,0.40,,,,,,,,,
290,8.12,239.5,7.00,4.12,0.26,,,,,,,,,
300,7.46,235.5,6.15,4.22,0.22,,,,,,,,,
310,7.35,234.7,5.99,4.25,0.41,,,,,,,,,
320,7.03,235.9,5.82,3.94,0.54,,,,,,,,,
330,7.31,240.8,6.38,3.57,0.79,,,,,,,,,
340,7.51,239.3,6.45,3.83,0.89,,,,,,,,,
350,8.04,240.1,6.96,4.01,0.98,,,,,,,,,
360,8.18,240.9,7.15,3.98,0.90,,,,,,,,,
370,8.65,244.5,7.81,3.72,0.96,,,,,,,,,
380,9.18,242.2,8.12,4.29,1.00,,,,,,,,,
390,9.67,245.9,8.83,3.95,1.33,,,,,,,,,
400,9.23,241.5,8.12,4.40,1.30,,,,,,,,,
410,9.10,244.8,8.23,3.88,1.50,,,,,,,,,
420,8.65,240.9,7.56,4.21,1.36,,,,,,,,,
430,8.15,245.3,7.40,3.41,1.31,,,,,,,,,
440,7.89,243.5,7.06,3.52,1.22,,,,,,,,,
450,8.25,240.8,7.21,4.02,1.16,,,,,,,,,
460,8.95,235.5,7.38,5.06,1.44,,,,,,,,,
470,9.37,230.5,7.23,5.95,1.78,,,,,,,,,
480,11.49,231.8,9.03,7.10,2.01,,,,,,,,,
490,10.99,231.8,8.64,6.80,2.09,,,,,,,,,
500,10.13,234.2,8.22,5.93,2.23,,,,,,,,,
