Date,time,airtemp,incomingLW,incomingSW,outgoingLW,outgoingSW,RH,soiltemp,soilVWC,winddir,windspeed
07-18-2016 05:00,5,3.6,-7.821,-0.555,0.979,0.865,90,7.4,0.588,180,0.638889
07-18-2016 05:15,5.25,3.9,-13.113,-1.491,0.527,0.754,89,7.3,0.589,172,0.444444
07-18-2016 05:30,5.5,3.9,-30.664,-4.099,-0.107,1.616,88,7.3,0.588,171,0.277778
07-18-2016 05:45,5.75,3.4,-31.262,-2.475,0.157,1.386,88,7.2,0.589,168,0.888889
07-18-2016 06:00,6,3,-30.934,-0.051,0.587,2.243,89,7.2,0.589,186,0.722222
07-18-2016 06:15,6.25,2.8,-29.553,5.098,0.608,2.57,90,7.1,0.59,156,0.805556
07-18-2016 06:30,6.5,2.9,-27.609,10.383,0.371,3.113,90,7,0.591,165,0.805556
07-18-2016 06:45,6.75,3.1,-25.865,16.015,0.226,3.86,89,7,0.591,166,0.583333
07-18-2016 07:00,7,3.2,-22.315,28.702,0.289,5.866,89,6.9,0.591,165,0.694444
07-18-2016 07:15,7.25,3.5,-23.893,30.56,0.076,6.171,89,6.9,0.591,157,0.416667
07-18-2016 07:30,7.5,3.8,-24.371,35.417,-0.217,6.803,88,6.7,0.591,184,0.638889
07-18-2016 07:45,7.75,4.1,-23.128,53.05,-0.261,9.868,89,6.7,0.591,160,0.611111
07-18-2016 08:00,8,4.5,-20.512,76.968,-0.306,14.068,89,6.7,0.591,159,1.027778
07-18-2016 08:15,8.25,5.1,-23.038,80.567,-0.586,14.354,87,6.7,0.591,172,0.777778
07-18-2016 08:30,8.5,5.7,-27.231,67.534,-0.821,12.446,85,6.7,0.591,180,0.694444
07-18-2016 08:45,8.75,5.7,-31.401,59.554,-1.143,10.498,84,6.7,0.591,160,1.166667
07-18-2016 09:00,9,5.9,-31.733,294.985,-0.05,52.98,82,6.7,0.591,144,1.194444
07-18-2016 09:15,9.25,8,-60.682,476.563,0.453,100.341,74,6.9,0.592,140,1.027778
07-18-2016 09:30,9.5,9.4,-84.032,456.71,-0.131,98.608,68,7.1,0.592,141,1.527778
07-18-2016 09:45,9.75,9.8,-81.097,307.301,-3.389,63.186,66,7.4,0.591,126,0.694444
07-18-2016 10:00,10,10.6,-86.152,584.486,0.574,123.352,61,7.7,0.592,140,1
07-18-2016 10:15,10.25,11.8,-84.942,706.666,0.371,145.937,55,8.2,0.592,178,0.833333
07-18-2016 10:30,10.5,12.7,-79.439,743.56,-0.579,148.316,53,8.7,0.591,167,0.833333
07-18-2016 10:45,10.75,12.4,-94.331,548.442,-3.168,107.17,54,9.2,0.592,207,1.111111
07-18-2016 11:00,11,12.2,-87.087,431.089,-2.622,81.766,54,9.6,0.591,196,1.055556
07-18-2016 11:15,11.25,12.2,-83.737,638.86,1.411,124.446,53,10,0.59,181,0.916667
07-18-2016 11:30,11.5,13,-97.324,749.554,1.845,145.895,50,10.3,0.58,174,1
07-18-2016 11:45,11.75,13.6,-93.012,812.301,3.029,160.787,49,10.7,0.58,212,0.722222
07-18-2016 12:00,12,14.3,-100.402,894.827,2.639,173.339,46,11.2,0.58,178,1.027778
07-18-2016 12:15,12.25,14,-85.138,626.212,1.474,116.184,47,11.6,0.578,138,1.027778
07-18-2016 12:30,12.5,13,-68.271,450.285,3.22,81.456,52,11.9,0.579,307,1.083333
07-18-2016 12:45,12.75,12.8,-73.834,429.405,3.555,78.179,52,12.2,0.58,311,0.305556
07-18-2016 13:00,13,13.3,-78.015,485.419,4.39,89.925,50,12.4,0.58,0,0.5
07-18-2016 13:15,13.25,14.2,-84.449,890.757,10.861,173.328,47,12.7,0.579,126,0.416667
07-18-2016 13:30,13.5,15.5,-107.232,"1,033.781",9.416,198.82,41,13,0.579,180,1.611111
07-18-2016 13:45,13.75,15.9,-110.76,900.907,7.79,171.554,40,13.4,0.578,187,1.388889
07-18-2016 14:00,14,15.8,-109.035,957.372,10.37,184.028,41,13.8,0.578,185,1.194444
07-18-2016 14:15,14.25,16.7,-112.394,"1,023.27",11.659,197.252,39,14.2,0.577,174,0.861111
07-18-2016 14:30,14.5,16.8,-108.951,"1,026.534",13.76,196.945,38,14.7,0.576,184,1.472222
07-18-2016 14:45,14.75,16.8,-111.363,974.674,15.257,188.609,37,15.1,0.577,199,1.416667
