TIMESTAMP,time,RECORD,AirTemp_Avg,RHcorrected_Avg,WS_ms,WindDir
2016-07-18 5:00:00,,483.5,6.003,79,0.716,204.9
2016-07-18 5:15:00,,483.5,6.123,79.49,0.306,324.5
2016-07-18 5:30:00,,483.5,6.145,77.46,0.422,224.5
2016-07-18 5:45:00,,483.6,5.909,82.2,1.218,150.2
2016-07-18 06:00:00,6,15425,5.44,84.4,0.4075,201.8
2016-07-18 06:15:00,6.25,15426,6.061,81.1,0.339444,169.8
2016-07-18 06:30:00,6.5,15427,5.848,81.8,0.430833,215
2016-07-18 06:45:00,6.75,15428,6.72,78.92,0.3775,176.5
2016-07-18 07:00:00,7,15429,7.026,79.62,0.434167,173.5
2016-07-18 07:15:00,7.25,15430,7.082,77.12,0.214722,191.9
2016-07-18 07:30:00,7.5,15431,7.325,80.9,0.540833,164.1
2016-07-18 07:45:00,7.75,15432,7.47,82.8,0.714167,162.4
2016-07-18 08:00:00,8,15433,7.755,82.1,0.7875,157
2016-07-18 08:15:00,8.25,15434,8.03,80.5,0.868333,156.2
2016-07-18 08:30:00,8.5,15435,8.36,79.19,0.915833,150
2016-07-18 08:45:00,8.75,15436,8.59,80.4,1.079722,134.5
2016-07-18 09:00:00,9,15437,8.88,80.9,0.963333,132.8
2016-07-18 09:15:00,9.25,15438,9.27,78.56,1.075556,131.1
2016-07-18 09:30:00,9.5,15439,9.81,75.25,1.148889,136
2016-07-18 09:45:00,9.75,15440,10.27,74.26,0.725556,116.7
2016-07-18 10:00:00,10,15441,10.51,74.58,0.457778,100
2016-07-18 10:15:00,10.25,15442,10.79,74.84,0.575556,98.7
2016-07-18 10:30:00,10.5,15443,11.53,74.78,0.414444,106.1
2016-07-18 10:45:00,10.75,15444,11.91,73.24,0.730556,119.7
2016-07-18 11:00:00,11,15445,12.23,73.12,0.913333,130.6
2016-07-18 11:15:00,11.25,15446,12.52,69.53,0.475,96.7
2016-07-18 11:30:00,11.5,15447,12.93,67.23,0.276111,57.72
2016-07-18 11:45:00,11.75,15448,13.56,64.59,0.204722,325.1
2016-07-18 12:00:00,12,15449,13.2,64.6,0.266667,295.7
2016-07-18 12:15:00,12.25,15450,14.28,60.8,0.344167,110
2016-07-18 12:30:00,12.5,15451,14.13,60.55,0.365,129.5
2016-07-18 12:45:00,12.75,15452,13.11,62.45,0.482778,148.3
2016-07-18 13:00:00,13,15453,14.27,59.85,0.326111,48.76
2016-07-18 13:15:00,13.25,15454,13.98,60.31,0.225833,348.5
2016-07-18 13:30:00,13.5,15455,15.14,57.89,0.300278,38.06
2016-07-18 13:45:00,13.75,15456,16.65,54.72,0.308333,2.616
2016-07-18 14:00:00,14,15457,16.07,52.63,0.243611,308.3
2016-07-18 14:15:00,14.25,15458,16.58,52.1,0.228333,319.3
2016-07-18 14:30:00,14.5,15459,16.75,50.5,0.204444,314.4
2016-07-18 14:45:00,14.75,15460,15.97,51.47,0.209167,238.9
2016-07-18 15:00:00,15,15461,16.12,50.96,0.223333,314.9
2016-07-18 15:15:00,15.25,15462,16.01,50.07,0.218611,291.5
2016-07-18 15:30:00,15.5,15463,16.68,47.79,0.258056,77.81
2016-07-18 15:45:00,15.75,15464,16.75,46.04,0.282778,72.49
2016-07-18 16:00:00,16,15465,17.03,44.57,0.185,162.2
2016-07-18 16:15:00,16.25,15466,16.37,45.82,0.1775,18.08
2016-07-18 16:30:00,16.5,15467,17.09,43.87,0.271111,120.2
2016-07-18 16:45:00,16.75,15468,17.69,42.83,0.266667,120.1
