TIMESTAMP,time,RECORD,AirTemp_Avg,RHcorrected_Avg,WS_ms,WindDir,WindDir_StDev,WS_ms_Max,SnowDepth,SignalQuality,HFP_Avg,VWC_Avg,EC_Avg,SoilTemp_Avg,SnowTemp20cm_Avg,SnowTemp150cm_Avg,AirTemp_Std,RHcorrected_Std,WS_ms_Std,VWC_K_10_Avg,EC_K_10_Avg,SoilTemp_K_10_Avg,VWC_K_35_Avg,EC_K_35_Avg,SoilTemp_K_35_Avg,VWC_K_60_Avg,EC_K_60_Avg,SoilTemp_K_60_Avg,VWC_K_120_Avg,EC_K_120_Avg,SoilTemp_K_120_Avg,BattV
2016-07-18 05:00,5,15421,,,1.632,221.3,37.31,3.312,0.308,264,-30.67626,0.194,0.006,4.185,4.279,4.871,0.034,0.066,0.489,0.251,0.011,7.991,0.389,0.13,9.28,0.395,0.17,8.27,0.434,0.17,6.479,12.61
2016-07-18 05:15,5.25,15422,,,2.184,156.8,19.37,3.94,0.303,238,-29.4019,0.194,0.006,4.072,5.229,5.277,0.038,0.051,1.115,0.251,0.011,7.918,0.389,0.13,9.23,0.395,0.171,8.28,0.434,0.17,6.497,12.62
2016-07-18 05:30,5.5,15423,,,1.851,219.4,25.4,3.91,0.288,435,-22.59026,0.194,0.006,4.065,6.031,6.236,0.083,0.118,0.586,0.251,0.011,7.86,0.389,0.129,9.24,0.395,0.171,8.31,0.434,0.169,6.506,12.75
2016-07-18 05:45,5.75,15424,,,1.979,169.6,27.64,3.224,0.319,235,-6.870729,0.194,0.006,4.216,8.24,9.33,0.029,0.095,0.619,0.251,0.011,7.815,0.389,0.129,9.22,0.395,0.171,8.27,0.434,0.17,6.526,12.87
2016-07-18 06:00:00,6,15425,,,0.551111,160.4,21.61,3.548,0.313,236,13.32563,0.194,0.006,4.631,9.6,10.87,0.071,0.056,0.575,0.251,0.011,7.716,0.389,0.129,9.21,0.395,0.17,8.27,0.434,0.17,6.47,13.01
2016-07-18 06:15:00,6.25,15426,,,0.326667,173.9,33.54,2.871,0.32,249,26.06926,0.194,0.006,5.141,11.57,12.05,0.03,0.143,0.705,0.25,0.011,7.663,0.389,0.129,9.19,0.395,0.17,8.26,0.434,0.17,6.506,13.14
2016-07-18 06:30:00,6.5,15427,,,0.84,154.6,23.12,6.213,0.31,239,35.3233,0.194,0.006,5.697,10.2,11.85,0.068,0.176,1.268,0.25,0.011,7.622,0.389,0.129,9.15,0.395,0.171,8.27,0.434,0.17,6.511,13.27
2016-07-18 06:45:00,6.75,15428,,,1.094722,154.3,17.05,6.576,0.312,229,37.3622,0.194,0.006,6.515,10.11,11.84,0.092,0.138,0.872,0.25,0.011,7.554,0.389,0.129,9.17,0.395,0.172,8.27,0.434,0.17,6.458,13.35
2016-07-18 07:00:00,7,15429,,,1.096389,154.4,17.46,7.242,0.32,228,47.65092,0.194,0.006,7.332,10.42,12.21,0.107,0.09,0.905,0.25,0.011,7.493,0.389,0.129,9.13,0.395,0.171,8.28,0.434,0.17,6.479,13.42
2016-07-18 07:15:00,7.25,15430,,,1.227778,146.8,16.58,6.537,0.315,304,52.20782,0.193,0.006,8.15,10.54,12.46,0.077,0.03,1.001,0.25,0.011,7.487,0.388,0.129,9.14,0.395,0.171,8.28,0.434,0.17,6.464,13.44
2016-07-18 07:30:00,7.5,15431,,,1.26,145,16.14,7.115,0.322,279,56.6443,0.193,0.006,8.94,10.71,12.51,0.113,0.031,1.11,0.25,0.011,7.464,0.388,0.129,9.11,0.395,0.17,8.28,0.434,0.169,6.484,13.51
2016-07-18 07:45:00,7.75,15432,,,1.536944,138.8,14.83,8.1,0.308,273,56.75069,0.193,0.006,9.72,10.4,11.88,0.082,0.085,0.907,0.25,0.011,7.453,0.388,0.129,9.09,0.395,0.171,8.26,0.434,0.169,6.455,13.52
2016-07-18 08:00:00,8,15433,,,1.604722,132.2,11.98,7.742,0.304,322,62.21426,0.193,0.006,10.23,10.75,12.04,0.042,0.161,0.911,0.25,0.011,7.503,0.388,0.129,9.05,0.395,0.171,8.25,0.434,0.17,6.479,13.47
2016-07-18 08:15:00,8.25,15434,,,1.678611,134.8,11.34,7.82,0.319,274,62.41505,0.192,0.006,10.88,11.13,12.43,0.05,0.05,0.899,0.25,0.011,7.559,0.388,0.129,9.06,0.395,0.171,8.27,0.434,0.169,6.517,13.54
