TIMESTAMP,time,AirTemp_Avg,RHcorrected_Avg,WindSpeed_S_WVT,WindDir_D1_WVT,short_in_Avg,long_in_Avg,net_rad_Avg
2016-06-18 5:00:00,5,3.02,47.21,1.533,203.7,-3.619962,236.0964,-78.60131
2016-06-18 5:15:00,5.25,2.945,47.7,1.435,202.7,-2.575521,236.6817,-77.0304
2016-06-18 5:30:00,5.5,2.975,47.6,1.108,195.5,0.411896,236.8533,-73.74084
2016-06-18 5:45:00,5.75,2.905,48.37,0.471,138.1,5.740791,237.3808,-66.21346
2016-07-18 06:00:00,6,5.49,80.7,0.323333,121.2,1.851628,259.9418,-66.29202
2016-07-18 06:15:00,6.25,5.712,80.3,0.403056,121.2,7.175641,260.0222,-64.15836
2016-07-18 06:30:00,6.5,5.438,82.3,0.241389,120.7,13.41316,259.8484,-56.6334
2016-07-18 06:45:00,6.75,5.234,80,0.2675,319.5,20.23803,259.7134,-46.5166
2016-07-18 07:00:00,7,5.267,82.3,0.208056,7.566,25.11312,260.033,-43.03559
2016-07-18 07:15:00,7.25,5.8,82.4,0.174722,130.6,29.73047,260.4134,-42.13451
2016-07-18 07:30:00,7.5,6.185,82.1,0.120278,123.1,77.23784,260.7816,1.145406
2016-07-18 07:45:00,7.75,6.723,80.9,0.530556,128.8,163.432,261.7501,54.31183
2016-07-18 08:00:00,8,7.236,79.57,0.336667,127.2,206.955,263.646,73.68375
2016-07-18 08:15:00,8.25,7.37,79.61,0.439722,130.1,253.7149,265.1346,106.317
2016-07-18 08:30:00,8.5,8.02,77.22,0.348333,117.8,303.6523,266.8906,141.7499
2016-07-18 08:45:00,8.75,7.73,79,0.581111,121.6,355.0119,267.6122,182.1306
2016-07-18 09:00:00,9,7.739,80.1,0.5725,139.4,404.7856,267.7485,218.6753
2016-07-18 09:15:00,9.25,8.26,78.58,0.603889,115.9,456.8248,269.2884,257.8063
2016-07-18 09:30:00,9.5,8.47,77.09,0.848889,130.3,508.0593,270.6828,299.2752
2016-07-18 09:45:00,9.75,8.69,76.52,0.924444,124.5,559.7743,272.1461,340.3602
2016-07-18 10:00:00,10,9.12,75.55,0.814167,131,607.6897,272.9644,375.3899
2016-07-18 10:15:00,10.25,9.34,76.45,0.839722,124.4,658.1816,276.9738,416.9339
2016-07-18 10:30:00,10.5,9.7,76.78,0.712778,129.6,714.5132,282.4342,463.3594
2016-07-18 10:45:00,10.75,10.53,74.27,0.610833,129.4,799.1058,294.7708,535.6243
2016-07-18 11:00:00,11,10.95,72.87,0.716111,126.9,716.5853,321.0259,500.0189
2016-07-18 11:15:00,11.25,11.43,71.13,0.816389,129.7,826.2393,318.2665,581.1163
2016-07-18 11:30:00,11.5,11.89,67.53,0.811667,129.6,980.8521,322.4465,700.109
2016-07-18 11:45:00,11.75,12.22,65.78,0.613333,133.8,975.0732,327.1847,696.2519
2016-07-18 12:00:00,12,12.32,64.97,0.628611,131.3,945.5391,327.066,673.4595
2016-07-18 12:15:00,12.25,12.81,63.12,0.697778,133.6,"1,065.301",314.3563,752.0822
2016-07-18 12:30:00,12.5,13.05,62.39,0.811111,134.6,"1,004.796",323.8911,713.9156
2016-07-18 12:45:00,12.75,12.89,62.38,0.736944,139.7,"1,000.705",317.4591,707.4531
2016-07-18 13:00:00,13,12.63,60.62,0.645,140.8,899.0623,322.9819,633.5328
2016-07-18 13:15:00,13.25,12.23,61.26,0.57,121.9,637.8835,331.2274,443.2186
2016-07-18 13:30:00,13.5,13.02,59.42,0.564722,139,933.2513,323.1993,659.7637
2016-07-18 13:45:00,13.75,14.03,56.35,0.696389,140,"1,179.392",324.3239,844.8474
2016-07-18 14:00:00,14,13.73,55.42,0.782222,134.7,866.0034,331.4865,615.2245
2016-07-18 14:15:00,14.25,13.9,55.02,0.386944,138.1,932.5568,334.6717,662.1169
2016-07-18 14:30:00,14.5,13.77,53.3,0.4625,140.4,537.16,327.6255,356.9598
2016-07-18 14:45:00,14.75,13.65,50.81,0.6525,157,676.2277,328.3519,466.4935
2016-07-18 15:00:00,15,13.18,51.8,0.181944,117.5,253.9937,334.2889,149.3203
2016-07-18 15:15:00,15.25,13.83,51.27,0.543333,140.6,581.9691,326.6893,393.8792
2016-07-18 15:30:00,15.5,14.35,49.29,0.403611,148.8,669.9498,318.9595,449.5165
2016-07-18 15:45:00,15.75,14.76,47.29,0.555833,132.9,645.449,323.2025,435.2554
2016-07-18 16:00:00,16,14.77,46.21,0.5525,134.8,772.1758,320.5532,529.6448
2016-07-18 16:15:00,16.25,14.95,44.63,0.747778,142.6,805.3524,320.069,555.4756
