TIMESTAMP,time,RECORD,AirTemp_Avg,RH_Avg,RHcorrected_Avg,WindSpeed_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SnowDepth,SignalQuality,short_in_Avg,short_out_Avg,long_in_Avg,long_out_Avg,cnr4_T_C_Avg,cnr4_T_K_Avg,long_in_corr_Avg,long_out_corr_Avg,net_short_Avg,net_long_Avg,albedo_Avg,net_rad_Avg,SnowTemp20cm_Avg,SnowTemp150cm_Avg,Rainfall_Tot,VWC,EC,SoilTemp_650,HFP_Avg,Pressure,AirTemp_Std,RHcorrected_Std,WindSpeed_Std,short_in_Std,short_out_Std,long_in_Std,long_out_Std,cnr4_T_C_Std
2016-07-18 00:00,0,6.576,68.9,68.9,0.516,166.9,31.93,0.008,187,-1.014061,3.272317,-50.90975,-5.137568,4.768324,277.9183,287.3513,333.1235,-4.286379,-45.77218,-3.674472,-50.05856,5.216,6.246,0,0.28,0.059,6.01,-36.23681,"1,021.775",0.081,0.893,0.415,0.2360325,0.3206883,4.652341,0.3560541,0.099,
2016-07-18 00:15,0.25,6.345,70.83,70.83,0.265,254,2.919,0.007,178,-0.5548721,3.52997,-47.76587,-5.127303,4.627568,277.7776,289.8103,332.4489,-4.084842,-42.63857,NAN,-46.7234,4.913,5.889,0,0.28,0.059,5.875,-36.83653,"1,021.778",0.021,0.506,0.328,0.4410029,0.5591654,6.308376,0.7325134,0.057,
2016-07-18 00:30,0.5,6.338,70.3,70.3,0.108,340.8,5.239,0.009,187,-1.472541,3.976089,-67.77175,-7.908909,4.178859,277.3288,267.6294,327.4922,-5.44863,-59.86284,-2.802133,-65.31148,3.748,5.392,0,0.28,0.058,5.525,-42.04959,"1,021.624",0.064,0.592,0.163,0.257317,0.2079918,3.889824,0.658968,0.192,
2016-07-18 00:45,0.75,6.097,71.3,71.3,0.121,242,9.97,0.007,173,-1.575486,3.665685,-69.58827,-7.639287,3.447671,276.5977,262.2895,324.2385,-5.241172,-61.94899,-3.354259,-67.19016,4.463,5.194,0,0.279,0.058,5.171,-47.95273,"1,021.594",0.123,0.557,0.19,0.6157367,1.123406,0.5332415,0.606818,0.177,
2016-07-18 01:00,1,6.264,70.65,70.65,0.213,224.8,7.117,0.007,174,-0.7355739,5.672688,-65.77135,-7.631324,3.439329,276.5893,266.0656,324.2056,-6.408262,-58.14003,NAN,-64.54829,5.015,5.755,0,0.279,0.058,4.83,-49.46212,"1,021.604",0.038,0.125,0.258,0.2676953,0.480712,1.873924,0.3717386,0.048,
2016-07-18 01:15,1.25,6.312,70.98,70.98,0.98,106.9,5.211,0.005,190,-1.232504,5.796197,-68.33374,-7.685534,3.701513,276.8515,264.7641,325.4124,-7.028702,-60.6482,-6.83397,-67.67691,4.172,5.744,0,0.278,0.057,4.592,-47.66549,"1,021.572",0.068,0.464,0.801,0.4127345,0.7703917,2.418127,0.4780434,0.192,
2016-07-18 01:30,1.5,5.617,75.55,75.55,1.678,110.9,8.64,0.005,183,-2.648221,4.205099,-72.51017,-9.048558,4.149657,277.2996,262.7487,326.2104,-6.85332,-63.46161,-1.659202,-70.31493,3.168,5.021,0,0.278,0.057,4.442,-44.70971,"1,021.615",0.187,1.576,0.158,0.3454268,0.6677917,1.574127,0.2084237,0.031,
2016-07-18 01:45,1.75,5.674,76.26,76.26,0.705,100.5,15.83,0.008,177,-0.737379,2.738727,-42.06009,-7.189897,4.095737,277.2457,292.9381,327.8083,-3.476106,-34.87019,INF,-38.3463,3.731,5.118,0,0.278,0.057,4.399,-39.15814,"1,021.656",0.075,0.658,0.496,1.261041,0.7808932,14.50245,1.216845,0.021,
2016-07-18 02:00,2,5.74,74.86,74.86,0.38,278.8,9.41,0.008,185,0.5016366,1.637381,-33.3555,-5.082659,4.249805,277.3998,302.3881,330.6609,-1.135744,-28.27284,NAN,-29.40859,4.243,5.339,0,0.277,0.056,4.592,-32.22339,"1,021.457",0.059,0.543,0.294,0.5042078,0.3419265,7.282001,0.5293769,0.062,
2016-07-18 02:15,2.25,5.724,74.76,74.76,0.351,278.6,17.3,0.007,174,-2.038177,2.41767,-65.15646,-8.871644,4.116902,277.2669,269.9448,326.2296,-4.455847,-56.28482,-1.312324,-60.74066,4.165,5.229,0,0.277,0.056,4.466,-36.12249,"1,021.334",0.065,0.275,0.267,0.8689625,0.7123982,6.356041,1.177132,0.16,
