Date,time,Wind dir,Wind speed,Soil temp at 5cm,RH ,Air temp,incoming SW,outgoing SW
07-18-2016 05:00,5,196.2,1.821,5.972,84.8,3.951,0,0
07-18-2016 05:15,5.25,179.6,5.001,5.909,84.1,4.378,0,0
07-18-2016 05:30,5.5,180.8,5.082,5.846,83.2,4.587,0,0
07-18-2016 05:45,5.75,186.7,4.957,5.789,80.7,4.995,0,0
07-18-2016 06:00,6,177.9,2.378,5.741,80.8,5.069,0,0
07-18-2016 06:15,6.25,176.1,2.665,5.702,81.4,5.119,0,0
07-18-2016 06:30,6.5,176.9,3.571,5.674,80.5,5.287,0,0
07-18-2016 06:45,6.75,172.5,5.055,5.667,80.6,5.188,18.85,0
07-18-2016 07:00,7,172.1,4.693,5.682,80.1,5.334,164.6,0
07-18-2016 07:15,7.25,179.5,3.134,5.71,79.77,5.558,165.5,0
07-18-2016 07:30,7.5,174.3,2.496,5.76,79.53,5.78,165.4,0
07-18-2016 07:45,7.75,161.1,2.073,5.842,80.6,5.696,165.4,2.627
07-18-2016 08:00,8,164.1,0.999,5.955,78.52,6.395,165,70.05
07-18-2016 08:15,8.25,157,1.794,6.099,78.5,6.608,282.6,149.7
07-18-2016 08:30,8.5,155.7,1.181,6.274,78.43,7.102,330.8,157.6
07-18-2016 08:45,8.75,180,0.726,6.475,73.14,8.56,330.8,157.6
07-18-2016 09:00,9,120,1.581,6.699,74.67,8.44,368,122.1
07-18-2016 09:15,9.25,146.3,1.237,6.946,73.53,8.79,481.9,154.1
07-18-2016 09:30,9.5,82.3,1.511,7.196,81.7,8.78,401.9,112.5
07-18-2016 09:45,9.75,80.4,1.237,7.453,78.77,9.26,488.7,139.2
07-18-2016 10:00,10,146.2,1.287,7.718,73.88,9.57,587.3,157.5
07-18-2016 10:15,10.25,102.6,1.279,8,74.73,9.72,657.1,157.5
07-18-2016 10:30,10.5,138.8,1.602,8.31,73.21,9.8,661.2,157.5
07-18-2016 10:45,10.75,146.7,0.725,8.62,72.3,10.75,661.2,157.5
07-18-2016 11:00,11,136.4,1.08,8.95,71.08,11.01,725.5,157.5
07-18-2016 11:15,11.25,140.9,1.82,9.29,74.71,10.88,705.8,126.9
07-18-2016 11:30,11.5,127.4,3.691,9.65,71.7,10.29,622.6,102.8
07-18-2016 11:45,11.75,138.2,3.346,10.02,70.81,10.27,384.8,53.37
07-18-2016 12:00,12,123.8,2.993,10.34,70.93,9.98,361.8,32.37
07-18-2016 12:15,12.25,128.6,3.95,10.54,71.18,10.11,484.9,63
07-18-2016 12:30,12.5,122.5,3.483,10.66,70.01,10.31,476.6,58.19
07-18-2016 12:45,12.75,113.7,2.798,10.77,68.86,10.25,473.9,50.75
07-18-2016 13:00,13,86,1.897,10.84,66.55,10.64,333.8,29.31
07-18-2016 13:15,13.25,333.7,1.152,10.91,63.09,10.76,451.4,46.81
07-18-2016 13:30,13.5,139.1,1.53,10.96,58.14,11.13,546.4,54.69
07-18-2016 13:45,13.75,121,2.45,11.02,59.13,12.76,831,117.2
07-18-2016 14:00,14,143.1,2.219,11.12,58.94,12.09,461,50.31
