Date,time,Air temp,incoming LW,outgoing LW,incoming sW,outgoing SW,RH 2.5 m,soil temp at 5cm,wind dir,wind speed
07-18-2016 05:00,5,5.242,239.1,321.7,-1.249,3.909,79.66,6.68,195.3,1.475
07-18-2016 05:15,5.25,5.445,240.2,322.6,-0.597,4.079,78.92,6.594,214.6,1.733
07-18-2016 05:30,5.5,5.527,263.3,324.6,0.433,3.514,78.21,6.519,226.8,1.904
07-18-2016 05:45,5.75,6.474,272.8,327.2,3.856,4.123,72.96,6.457,184.5,1.426
07-18-2016 06:00,6,6.072,273.1,327.2,8.57,3.644,75.85,6.413,137.2,0.614
07-18-2016 06:15,6.25,5.584,250.5,324.6,20.71,7.985,78.98,6.383,274.1,0.848
07-18-2016 06:30,6.5,5.838,242.4,324.1,41.24,10.78,78.86,6.355,295,0.704
07-18-2016 06:45,6.75,6.726,239.4,324.3,34.37,7.03,74.93,6.319,311.4,0.414
07-18-2016 07:00,7,7.455,240,327.3,113.4,21.17,72.14,6.278,318.4,0.706
07-18-2016 07:15,7.25,8.89,240.9,331.9,149.6,26.35,68.78,6.252,5.212,0.376
07-18-2016 07:30,7.5,9.43,245.3,339.1,194.2,35.17,68.31,6.268,76.27,0.174
07-18-2016 07:45,7.75,10.33,243.4,346.2,232.6,50.79,67.32,6.356,76.07,0.346
07-18-2016 08:00,8,10.08,242.1,351.8,271.8,66.9,68.62,6.488,11.79,0.297
07-18-2016 08:15,8.25,10.44,243.7,357.5,315.7,57.28,70.79,6.697,67.71,0.4
07-18-2016 08:30,8.5,10.79,246,363.3,360.2,51.16,71.94,6.841,50.63,0.375
07-18-2016 08:45,8.75,11.23,248.1,369.4,404,54.08,72.19,6.891,65.57,0.381
07-18-2016 09:00,9,10.98,255.7,374.6,463.2,61.33,72.84,6.899,102.3,0.692
07-18-2016 09:15,9.25,11.28,254.7,379.8,483.6,62.25,71.5,6.927,46.68,0.474
07-18-2016 09:30,9.5,11.56,256.4,385.5,545.1,70.13,73.49,7.122,73.54,0.528
07-18-2016 09:45,9.75,12.37,266.8,394.2,615.9,79.07,68.14,7.494,74.08,0.452
07-18-2016 10:00,10,12.58,262,399.1,643.7,82.2,68.94,7.961,80.5,0.746
07-18-2016 10:15,10.25,12.25,258.1,400.3,658,84.4,68.75,8.46,87,1.016
07-18-2016 10:30,10.5,12.54,278.7,411.4,767.6,100.3,67.89,8.95,74.55,0.984
07-18-2016 10:45,10.75,13.37,291.7,420.3,832,108.9,65.13,9.43,67.77,1.137
07-18-2016 11:00,11,14.1,293.8,426.5,881,116,64.35,9.92,83.1,1.093
07-18-2016 11:15,11.25,14.11,299.2,430.5,906,119,63.57,10.41,75.2,1.565
07-18-2016 11:30,11.5,12.69,300.2,406.4,375.1,42.49,68.8,10.86,74.32,1.024
07-18-2016 11:45,11.75,11.85,293.2,394.4,294.2,33.41,67.89,11.16,72.02,0.723
07-18-2016 12:00,12,12.2,292.4,403.1,567.9,76.12,65.18,11.24,74.81,0.71
