Date,time,Airtemp,incoming LW,incoming SW,outgoing LW,outgoing SW,RH,soiltemp_5cm,winddir_7m,wind speed
07-18-2016 05:00,5,5.949,341.4,-0.597,352.8,0.892,96.5,13,238.7,1.018
07-18-2016 05:15,5.25,5.877,341.2,-0.642,352.7,0.837,96.5,12.93,255.9,1.011
07-18-2016 05:30,5.5,5.693,340.4,-0.569,352.3,0.876,96.5,12.87,230.9,1.186
07-18-2016 05:45,5.75,5.477,339.4,0.633,351.7,1.077,96.6,12.83,247.7,1.111
07-18-2016 06:00,6,5.484,339.1,3.587,351.6,1.502,96.6,12.76,260.6,1.081
07-18-2016 06:15,6.25,5.632,339.6,6.977,352.3,2.025,96.6,12.67,263.9,0.908
07-18-2016 06:30,6.5,5.716,340.2,12.6,352.7,2.443,96.6,12.59,245.6,0.992
07-18-2016 06:45,6.75,5.878,340.7,16.22,353,2.905,96.6,12.52,264.6,0.615
07-18-2016 07:00,7,5.942,340.7,20.65,352.4,3.242,96.7,12.48,275.8,1.055
07-18-2016 07:15,7.25,5.903,339.8,29.47,351.2,4.601,96.7,12.46,248.4,0.488
07-18-2016 07:30,7.5,5.769,338.9,43.16,350.3,6.643,96.7,12.42,288.4,0.526
07-18-2016 07:45,7.75,5.736,338.9,54.06,351,8.05,96.7,12.33,259.4,0.022
07-18-2016 08:00,8,5.667,338.7,64.07,351.1,9.36,96.7,12.28,93.5,0.491
07-18-2016 08:15,8.25,6.917,351.4,364.4,368.2,57.67,96.8,11.82,7.26,0.476
07-18-2016 08:30,8.5,9.19,371.2,508.6,386.5,77.74,96.8,10.8,337.9,0.268
07-18-2016 08:45,8.75,9.99,377.8,459.7,388.2,70.98,96.4,11.06,298.6,1.158
07-18-2016 09:00,9,10.54,381,466.8,391.6,73.75,92.2,11.9,190.8,1.676
07-18-2016 09:15,9.25,10.83,381.2,468.6,394,72.65,86.4,12.83,154.7,1.441
07-18-2016 09:30,9.5,11.58,387.5,508.4,401.1,77,82.7,13.31,106.3,0.797
07-18-2016 09:45,9.75,12.01,389.5,532,406.6,80.3,81,13.72,106,0.868
07-18-2016 10:00,10,12.7,357.4,595.2,412.4,84.6,78.28,14.17,142.9,1.361
07-18-2016 10:15,10.25,13.21,309.5,631.3,419.5,88.2,76.51,14.74,145.4,0.868
07-18-2016 10:30,10.5,14.05,286.1,666.9,426.3,91.2,73.34,15.19,130.3,1.25
07-18-2016 10:45,10.75,15.1,286.9,700.5,432.8,93.8,69.52,15.77,186.2,1.229
07-18-2016 11:00,11,16.03,290.3,731.8,439.4,95.3,65.14,16.26,70.64,0.791
07-18-2016 11:15,11.25,16.93,294.4,767.4,446.3,97.7,62.04,16.74,3.912,0.846
07-18-2016 11:30,11.5,17.86,301.1,811,454,103.2,58.12,17.31,132.5,1.403
07-18-2016 11:45,11.75,18.5,305.1,850,459.2,107.6,55.68,17.88,100.6,2.112
07-18-2016 12:00,12,19.12,313.8,901,468.9,114.5,52.48,18.34,111.5,1.649
07-18-2016 12:15,12.25,19.94,313.7,910,474.2,112.2,47.91,18.73,157.9,1.37
07-18-2016 12:30,12.5,20.11,313.8,937,475.8,116,42.2,19.5,147.8,2.092
07-18-2016 12:45,12.75,20.61,316.9,940,480.8,116.1,41.27,20.09,175.7,1.673
07-18-2016 13:00,13,20.74,319.3,978,484.3,120.2,40.53,20.7,159.2,1.877
07-18-2016 13:15,13.25,20.72,321.8,998,485.8,122.9,38.99,21.28,125,2.442
