Date,time,Airtemp,incomingLW,incomingSW,outgoing LW,outgoing SW,RH,soiltemp_10cm,winddir,windspeed
07-18-2016 05:00,5,3.836,317.4237,-1.49929,325.5962,2.075383,99.1,10,273.2,0.565
07-18-2016 05:15,5.25,3.781,317.3121,-1.403087,325.1786,2.18438,99.1,9.96,264.8,0.429
07-18-2016 05:30,5.5,3.8,318.5508,-0.541923,325.0702,2.341062,99.1,9.92,268.7,0.514
07-18-2016 05:45,5.75,3.918,320.9763,1.42965,326.2725,2.318312,99.2,9.87,268.9,0.588
07-18-2016 06:00,6,4.157,322.4173,5.817548,327.5988,2.62855,99.2,9.82,258.7,0.627
07-18-2016 06:15,6.25,4.384,323.0645,10.25547,328.5513,2.678098,99.3,9.78,263.7,0.447
07-18-2016 06:30,6.5,4.529,322.9046,16.85369,329.0204,3.493648,99.2,9.74,277.3,0.39
07-18-2016 06:45,6.75,4.756,322.643,19.62543,329.3889,3.519186,99.3,9.69,292.6,0.45
07-18-2016 07:00,7,5.206,324.5474,34.08451,331.1417,5.222389,99.3,9.65,274.1,0.356
07-18-2016 07:15,7.25,5.686,326.5974,28.88385,333.0766,4.971724,99.3,9.61,314,0.171
07-18-2016 07:30,7.5,6.186,327.5053,41.44059,334.2759,7.631995,99.2,9.57,25,0.196
07-18-2016 07:45,7.75,6.465,330.7903,78.25822,337.7919,9.352035,99,9.53,333.7,0.379
07-18-2016 08:00,8,7.081,336.1432,157.551,343.6515,12.07046,97.7,9.5,327.4,0.275
07-18-2016 08:15,8.25,8.24,337.5421,82.28259,348.4554,19.6986,94,9.45,283.5,0.321
07-18-2016 08:30,8.5,9.29,340.6042,352.1176,353.3111,30.37898,89.1,9.41,345.5,0.249
07-18-2016 08:45,8.75,9.42,345.5013,434.2374,362.3445,40.59987,88,9.38,73.96,0.333
07-18-2016 09:00,9,10.64,344.6431,450.831,369.1302,49.66886,85.6,9.34,140.7,0.438
