Date,time,airtemp,incomingSW,RH,soiltemp_10cm,winddir,windspeed
07-18-2016 05:00,5,3.295,0,97.1,9.23,313.5,0.817
07-18-2016 05:15,5.25,3.299,0.048,97.1,9.19,314.6,0.859
07-18-2016 05:30,5.5,3.132,0.461,97.1,9.15,313.8,0.746
07-18-2016 05:45,5.75,3.195,2.21,97.2,9.11,322.1,0.888
07-18-2016 06:00,6,3.596,7.158,97.1,9.05,323.9,0.806
07-18-2016 06:15,6.25,3.905,11.35,97.1,9.01,310.2,0.562
07-18-2016 06:30,6.5,4.13,16.86,97,8.96,318.1,0.638
07-18-2016 06:45,6.75,3.834,17.52,97.1,8.94,322.8,0.638
07-18-2016 07:00,7,4.336,112.4,96.9,8.89,335.4,0.75
07-18-2016 07:15,7.25,5.988,181.8,96.8,8.8,347.5,0.282
07-18-2016 07:30,7.5,7.119,220,96.7,8.75,148.9,0.169
07-18-2016 07:45,7.75,8.17,255.6,93.7,8.71,56.54,0.297
07-18-2016 08:00,8,9.01,291.2,85.5,8.64,29.23,0.7
07-18-2016 08:15,8.25,9.74,328.9,82.3,8.58,34.37,0.707
07-18-2016 08:30,8.5,10.85,367.9,78.9,8.57,41.56,0.613
07-18-2016 08:45,8.75,11.79,410.1,76.06,8.57,55.06,0.492
07-18-2016 09:00,9,12.26,452.1,72.79,8.57,62.28,0.749
07-18-2016 09:15,9.25,12.24,491.9,72.89,8.56,81.8,0.68
07-18-2016 09:30,9.5,12.32,531.7,71.12,8.58,92.6,0.865
07-18-2016 09:45,9.75,12.49,558.1,70.04,8.6,129.4,0.709
07-18-2016 10:00,10,12.53,609.7,69.69,8.62,152,0.652
07-18-2016 10:15,10.25,12.94,644.4,70.1,8.63,132.4,0.48
07-18-2016 10:30,10.5,13.86,680,67.81,8.63,137.1,0.478
07-18-2016 10:45,10.75,13.83,715,65.94,8.69,91.1,0.818
07-18-2016 11:00,11,14.6,755.6,65.7,8.73,109.9,0.685
07-18-2016 11:15,11.25,14.8,816,63.44,8.8,142.2,0.85
07-18-2016 11:30,11.5,15.03,877,63.36,8.89,143.4,1.034
07-18-2016 11:45,11.75,15.41,903,60.63,8.96,139,0.959
07-18-2016 12:00,12,15.68,661.7,59.14,9.1,136.3,0.8
07-18-2016 12:15,12.25,15.95,792,57.06,9.22,100.6,1.066
07-18-2016 12:30,12.5,16.48,914,53.08,9.3,169.7,0.928
