TIMESTAMP,time,RECORD,AirTemp_Avg,RH_Avg,RHcorrected_Avg,WindSpeed_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SnowDepth,SignalQuality,short_in_Avg,short_out_Avg,long_in_Avg,long_out_Avg,cnr4_T_C_Avg,cnr4_T_K_Avg,long_in_corr_Avg,long_out_corr_Avg,net_short_Avg,net_long_Avg,albedo_Avg,net_rad_Avg,Pressure,SnowTemp20cm_Avg,SnowTemp150cm_Avg,Rainfall_Tot,VWC,EC,SoilTemp_650,HFP_Avg,AirTemp_Std,RHcorrected_Std,WindSpeed_Std,short_in_Std,short_out_Std,long_in_Std,long_out_Std,cnr4_T_C_Std,SWE_scale_Avg,Intensity_RT,Accumulated_RT,Accumulated_NRT,Accumulated_Total_NRT,Bucket_RT,Bucket_NRT,Temperature_load_cell,Status,PluvioWind_Avg,SH
2016-07-18 05:00:00,5,36161,3.817,96.7,96.7,0.099,346.8,10.17,0.355,224,0.202,1.538197,-8.150031,-1.472683,2.101224,275.2512,317.3118,323.9892,-1.336693,-6.677348,INF,-8.014041,"1,024.114",1.641,2.653,0,0.439,0.07,7.479,-18.60028,0.063,0.073,0.19,0.3669656,0.3125089,0.560364,0.1158381,0.045,-3.899,0,0.01,0,206.3,396.2,396.1,2.7,128,0,-8.744
2016-07-18 05:15:00,5.25,36162,3.929,96.7,96.7,0.198,352.4,11.8,0.343,209,0.053,1.398497,-8.430152,-1.600725,2.147634,275.2976,317.2513,324.0807,-1.345358,-6.829427,NAN,-8.174785,"1,024.151",1.617,2.663,0,0.438,0.07,7.396,-18.40842,0.076,0.059,0.181,0.2582377,0.1093131,0.3214793,0.05208852,0.027,-3.91,0,0,0,206.4,396.1,396.1,2.7,128,0,-16.558
2016-07-18 05:30:00,5.5,36163,4.255,96.9,96.9,0.036,311.5,4.567,0.346,224,-0.029,2.023092,-9.59462,-1.861076,2.176639,275.3266,316.2241,323.9576,-2.052483,-7.733543,NAN,-9.786026,"1,024.034",1.524,2.661,0,0.438,0.07,7.332,-18.8755,0.07,0.045,0.11,0.4078504,0.5801377,0.2181363,0.08622468,0.027,-3.898,0,0,0,206.4,396.1,396.1,2.9,128,0,-2.672
2016-07-18 05:45:00,5.75,36164,4.149,96.8,96.8,0.058,3.562,26.15,0.348,212,0.637,2.571093,-9.718349,-2.017805,2.131272,275.2813,315.8857,323.5862,-1.934136,-7.700544,INF,-9.63468,"1,023.955",1.31,2.826,0,0.438,0.07,7.258,-19.8636,0.075,0.032,0.122,0.411763,0.5121738,0.08117964,0.09411079,0.042,-3.913,0,0,0,206.4,396.1,396.1,2.7,128,0,-4.349
2016-07-18 06:00:00,6,36165,3.898,96.8,96.8,0.035,234.6,14.34,0.343,207,2.461,3.102892,-9.467907,-1.844374,1.940063,275.09,315.2325,322.856,-0.6420542,-7.623532,1.403754,-8.265586,"1,024.032",1.071,2.875,0,0.438,0.07,7.175,-20.59491,0.105,0.063,0.116,0.9762324,0.4042165,0.1562424,0.1478822,0.062,-3.903,0,0,0,206.4,396.1,396.1,2.7,128,0,-2.766
2016-07-18 06:15:00,6.25,36166,3.985,97,97,0.066,221.8,18.36,0.341,210,5.834,4.01185,-9.190851,-1.597731,1.901002,275.051,315.325,322.9182,1.821934,-7.59312,0.7115854,-5.771187,"1,024.073",1.108,2.982,0,0.438,0.069,7.164,-20.14775,0.068,0.027,0.162,0.9193412,0.5134478,0.1099668,0.1237796,0.022,-3.901,0,0,0,206.4,396.1,396.1,2.8,128,0,-5.061
2016-07-18 06:30:00,6.5,36167,3.946,97.1,97.1,0,0,0,0.346,220,9.653,4.737875,-9.049757,-1.528362,1.931596,275.0816,315.6106,323.132,4.915137,-7.521396,0.4902901,-2.606258,"1,024.033",1.118,3.201,0,0.437,0.069,7.081,-19.64462,0.043,0.044,0,0.9827253,0.6924307,0.1376513,0.09478243,0.048,-3.899,0,0,0,206.4,396.1,396.1,2.8,128,0,0
2016-07-18 06:45:00,6.75,36168,4.102,97.3,97.3,0.007,308.4,2.825,0.34,202,14.197,4.483269,-8.539111,-1.452566,2.011629,275.1616,316.4992,323.5858,9.713866,-7.086546,0.3189158,2.62732,"1,024.114",1.192,3.151,0,0.437,0.069,6.998,-18.91904,0.08,0.051,0.042,1.675889,0.6104269,0.1542958,0.09114032,0.039,-3.894,0,0,0,206.4,396.1,396.1,2.7,128,0,-0.489
2016-07-18 07:00:00,7,36169,4.415,97.4,97.4,0.027,236.6,10.34,0.335,201,18.117,5.265039,-8.238688,-1.384911,2.195888,275.3459,317.6712,324.5249,12.85155,-6.853777,0.2911506,5.997774,"1,024.192",1.436,3.319,0,0.437,0.069,6.957,-17.73849,0.088,0.03,0.093,0.7272779,0.5326854,0.0974106,0.1046558,0.052,-3.879,0,0,0,206.4,396.1,396.1,2.8,128,0,-1.655
2016-07-18 07:15:00,7.25,36170,4.488,97.4,97.4,0.223,215.1,25.45,0.341,209,21.495,6.118138,-8.32416,-1.170775,2.37039,275.5204,318.4127,325.5661,15.37646,-7.153384,0.2845819,8.223076,"1,024.108",1.659,3.643,0,0.437,0.069,6.904,-16.80293,0.1,0.028,0.295,1.464263,0.504985,0.08803366,0.1744155,0.073,-3.89,0,0,0,206.4,396.1,396.1,3,128,0.005,-12.995
2016-07-18 07:30:00,7.5,36171,5.038,97.4,97.4,0.826,193.8,19.84,0.367,249,26.955,7.999676,-8.399026,-0.5138673,2.948443,276.0984,321.0903,328.9754,18.95482,-7.885158,0.2966723,11.06967,"1,024.143",2.569,4.623,0,0.437,0.068,6.859,-15.38751,0.194,0.053,0.438,1.28557,0.5729234,0.1822055,0.2951978,0.269,-3.875,0,0,0,206.4,396.1,396.1,3.1,128,0.527,-36.28
